,GAZP,LKOH,SNGSP,BANEP,TATNP,GMKN,PLZL,RASP,TRMK,MTLR,SBER,VTBR,BSPB,AFKS,CBOM,MGNT,PIKK,MVID,ALRS,TTLK,MTSS,RTKM,RTKMP,AFLT,MGTS,IRAO,OGKB,TGKA,UPRO,LSNGP
GAZP,0.0005294796238926123,0.00026165726338148865,0.00015330712471305573,0.00019051730075341435,0.00031736935708676073,0.0003473952265505333,0.0003004377041781852,0.0003252546286030387,0.00031580418591679133,0.00042594377494271625,0.0002455955515400848,0.00036636673396797057,0.00017171393997157715,0.00045360486805436133,0.00036071453280162226,0.0002442747808422606,0.0004177504065491515,0.0003138713988501638,0.00033955492640020616,0.00017865711438560424,0.0002530166688895949,0.00033821530491474043,0.0002895698291274298,0.00036385271440155984,6.592297467098111e-05,0.00021522311971305843,0.0002925427193327756,0.0002526843667295401,0.000430615951394706,9.902865658807953e-05
LKOH,0.00026165726338148865,0.00026682247767867396,0.0001121612978348775,0.00013050943627926253,0.00022711405986592512,0.0002024409629086761,0.00013488244394232622,0.0002089711280693736,0.0001798593806270259,0.0002613954608299734,0.00014188541796795486,0.00021836853976282415,0.00010376464215703694,0.00026170228733975035,0.00022758831337740977,0.00016872572226595226,0.0002271483907351635,0.0001923733168379291,0.00019954063239247644,0.00011824350213902998,0.0001313218811464425,0.00021407727787584296,0.00018729889464406672,0.0002178190925325019,5.6395384227979834e-05,0.00014085794247873306,0.00019052676709827498,0.00016604700276607925,0.0002563610313074835,8.552781281663078e-05
SNGSP,0.00015330712471305573,0.0001121612978348775,0.00025873004796369187,9.616485803750498e-05,0.00013306386853713116,0.00012572410164174926,0.0001051152971963752,0.0001671586914620643,0.00010798927771084897,0.00018004538075964223,7.099541845061507e-05,0.0001137839490922219,5.792453294291361e-05,0.0001543405284235785,0.00013052302607401562,0.00011134234004596074,0.00017475075766053757,0.00010091400065746046,0.00014183073062669623,7.881745705865533e-05,0.00010622625962054882,0.000149855244737809,0.00013138269481860482,0.0001453267987904154,3.3140535695199596e-05,9.309696863354064e-05,0.0001253163520253529,8.85314975614472e-05,0.0001701960397631337,3.2850727443645616e-05
BANEP,0.00019051730075341435,0.00013050943627926253,9.616485803750498e-05,0.00027090737984688385,0.00015450153367482105,0.00011859845719865828,0.0001349766730574404,0.00017113918460455812,0.00017894826088463834,0.00022455211892246152,0.00011919086018173948,0.00015679861904445614,0.00010963291831538357,0.00020780568900285039,0.00015010629109502065,0.00013073412406377607,0.00021285080415622994,0.00017232903968944515,0.0001696622037591287,0.00011035860853350722,0.00014402481808162775,0.00018602875960051487,0.00015863238553173696,0.00018937955919980445,5.9973975640194004e-05,0.00012411465119217834,0.00019885179457443394,0.00015239339937652376,0.00022370033942109517,6.390108909946706e-05
TATNP,0.00031736935708676073,0.00022711405986592512,0.00013306386853713116,0.00015450153367482105,0.0004083405723578594,0.0002614424000917993,0.00015417899746948582,0.00026025204436028664,0.00018050606865389852,0.0002993649339743119,0.00017103351695372097,0.00025311159008666647,0.00013586560728784096,0.0003071652974245901,0.0002734751558647273,0.00018136852007672236,0.00027930161671576307,0.00020890269557652274,0.00024005336720028111,0.00013761744636718666,0.0001811829414978816,0.00026612974252743324,0.00023559157678975528,0.00027074164453340675,3.344739891397674e-05,0.00016625052896544152,0.00023731952609892787,0.00017790673858815448,0.000326786529198395,8.467856736728204e-05
GMKN,0.0003473952265505333,0.0002024409629086761,0.00012572410164174926,0.00011859845719865828,0.0002614424000917993,0.00041920871296564205,0.00024221476063620036,0.00025035423827161695,0.0002455287397170673,0.0003388214064575163,0.00019067297796320106,0.0002818625879365875,0.00011523112157969009,0.00033120040249680463,0.00027407088108560027,0.00019523783738012213,0.0003151568136742366,0.00020358015922609888,0.00028587190505033046,0.00011759534481495647,0.0002044147077305178,0.0002799506907628704,0.00023700743813802016,0.0002706183087811972,1.2802625884423992e-05,0.00016028581152534443,0.00022540649480894668,0.0002037920026603978,0.00032532910936277634,0.00010054108533221175
PLZL,0.0003004377041781852,0.00013488244394232622,0.0001051152971963752,0.0001349766730574404,0.00015417899746948582,0.00024221476063620036,0.003536646556367182,0.00019418657672595166,0.0001734184524152688,0.0003362152294851117,0.00014116340514320087,0.00018246212101233526,0.00013063796907403558,0.00032348821141052155,0.0002835137805538089,0.00014161072411349816,0.00033884330230661845,0.00021553748154945864,0.0001968345346326726,0.0001061040823690221,0.0001614175613519233,0.0001874456893381524,0.0001670604369988702,0.00020570671793483596,0.00017509308998700342,0.00013816009457496187,0.00018051095283598114,0.00012554790077765583,0.0002597241174305842,0.00017916964203492703
RASP,0.0003252546286030387,0.0002089711280693736,0.0001671586914620643,0.00017113918460455812,0.00026025204436028664,0.00025035423827161695,0.00019418657672595166,0.00047883654636894136,0.0002594456638303874,0.000410401298132406,0.00017850212779649155,0.00025626269880739833,0.00015033110898665276,0.0003563380729161445,0.00025144081888904194,0.0002005331743813499,0.00044066040442942127,0.0002210695644829178,0.00025812103532934475,0.00018490481748795524,0.00020788173365511882,0.00027626951515475316,0.0002473253866982378,0.00028003944775954596,8.98434537759939e-05,0.0001938144252806736,0.0002422277990534926,0.00020273874423917872,0.00030628116153961083,9.350351523099885e-05
TRMK,0.00031580418591679133,0.0001798593806270259,0.00010798927771084897,0.00017894826088463834,0.00018050606865389852,0.0002455287397170673,0.0001734184524152688,0.0002594456638303874,0.000494623296176557,0.0003652322737979668,0.000182953192084747,0.00025152545444493573,0.00011765688195293537,0.0003609245100833377,0.0002447547844615449,0.000213971662941839,0.0003635294828175695,0.000256098597966293,0.00022870482062637933,0.00015920654184765735,0.00020089345312252128,0.00029447150305826576,0.0002286860924163626,0.0002557427405188972,9.587415988264628e-05,0.00015837998762814202,0.000267140793117978,0.0002094137382278281,0.000329705561005402,7.44903599387689e-05
MTLR,0.00042594377494271625,0.0002613954608299734,0.00018004538075964223,0.00022455211892246152,0.0002993649339743119,0.0003388214064575163,0.0003362152294851117,0.000410401298132406,0.0003652322737979668,0.0007151968587781738,0.0002338293273018485,0.00032136893217719545,0.000150749799216724,0.000511576300250071,0.00034715243333633756,0.00027292117374548883,0.0005162840994099232,0.00033760625801207596,0.0003497583157177691,0.00019843305084847664,0.0002666838244740505,0.00037426440033681244,0.00030666787087460994,0.0003346130181309352,0.00011751518562758756,0.0002462734158898674,0.00033619294970844684,0.0002901467194382643,0.0003819794732154606,0.0001475215622079337
SBER,0.0002455955515400848,0.00014188541796795486,7.099541845061507e-05,0.00011919086018173948,0.00017103351695372097,0.00019067297796320106,0.00014116340514320087,0.00017850212779649155,0.000182953192084747,0.0002338293273018485,0.0001906605307889397,0.00018127452948067942,0.0001096514814196356,0.00025888438902727326,0.00020608280290077482,0.00014258630639752906,0.00024777300393451934,0.00017341841331867017,0.00019005393816388645,0.0001087531616608509,0.00015501807987392105,0.00020659554710134235,0.00016834615474072028,0.00021368442521989964,4.3575273424524445e-05,0.0001241668920970483,0.00016903992387921972,0.0001476197229122101,0.00023869405166099906,6.824313735099819e-05
VTBR,0.00036636673396797057,0.00021836853976282415,0.0001137839490922219,0.00015679861904445614,0.00025311159008666647,0.0002818625879365875,0.00018246212101233526,0.00025626269880739833,0.00025152545444493573,0.00032136893217719545,0.00018127452948067942,0.0006429851794369315,0.00014350506045061526,0.00033771376229048617,0.00023864209523849118,0.00021352629063042415,0.00030915900118544366,0.00025144654109462983,0.0002741530469288951,0.00019289417646282708,0.00021390714364271038,0.0002701800372004584,0.00023307810608242876,0.0002753655245212251,0.00010227855833395573,0.00017059906967695486,0.00024716672918048053,0.00019867545506042374,0.0003222564499613677,9.882165520643194e-05
BSPB,0.00017171393997157715,0.00010376464215703694,5.792453294291361e-05,0.00010963291831538357,0.00013586560728784096,0.00011523112157969009,0.00013063796907403558,0.00015033110898665276,0.00011765688195293537,0.000150749799216724,0.0001096514814196356,0.00014350506045061526,0.00023015355660578466,0.00016824972880570476,0.00015020093975681798,0.00011225062262578848,0.00014272664399198688,9.640745325837513e-05,0.00011551826581116423,9.374521363069665e-05,0.00012086875844784843,0.00014810233882543383,0.00012344083780703303,0.0001359281319421105,5.487062710251717e-05,0.00010245332105673487,0.00012927747823891048,9.88952032567769e-05,0.00015794265381080297,3.415778569422126e-05
AFKS,0.00045360486805436133,0.00026170228733975035,0.0001543405284235785,0.00020780568900285039,0.0003071652974245901,0.00033120040249680463,0.00032348821141052155,0.0003563380729161445,0.0003609245100833377,0.000511576300250071,0.00025888438902727326,0.00033771376229048617,0.00016824972880570476,0.0006355874306030021,0.00035977610443887104,0.00028786435683322506,0.0005174075816546768,0.00035448457148497817,0.0003465304605556773,0.00019757890698227608,0.00027454843464944415,0.00041458397982663996,0.0003289287569741163,0.00038961944313944925,9.052468743919855e-05,0.0002364663498847456,0.00029690771781440395,0.0002797940402562484,0.0004333207127010308,0.0001233653647139324
CBOM,0.00036071453280162226,0.00022758831337740977,0.00013052302607401562,0.00015010629109502065,0.0002734751558647273,0.00027407088108560027,0.0002835137805538089,0.00025144081888904194,0.0002447547844615449,0.00034715243333633756,0.00020608280290077482,0.00023864209523849118,0.00015020093975681798,0.00035977610443887104,0.0006817804065369305,0.00020619712691452786,0.00032064220705144435,0.00025544710938763524,0.00029205215915429684,0.00014036478678809987,0.00020911290764401535,0.0002936671999791972,0.00025186976200191897,0.0002858012971404551,2.9839040144635656e-05,0.00017803988830434136,0.00022843102482185862,0.0001739296458501419,0.00035592650909000193,0.00010450577073191022
MGNT,0.0002442747808422606,0.00016872572226595226,0.00011134234004596074,0.00013073412406377607,0.00018136852007672236,0.00019523783738012213,0.00014161072411349816,0.0002005331743813499,0.000213971662941839,0.00027292117374548883,0.00014258630639752906,0.00021352629063042415,0.00011225062262578848,0.00028786435683322506,0.00020619712691452786,0.0003104559986294183,0.0002815384688393613,0.0002466563439050993,0.00020038715640721837,0.00013208559248307564,0.0001458557851948771,0.00025033910204240483,0.00018990721443666703,0.0002216072253047163,6.958404281372597e-05,0.00015306967663607097,0.00017020918421783125,0.00015587513276142908,0.0002694023995024046,6.485934876415228e-05
PIKK,0.0004177504065491515,0.0002271483907351635,0.00017475075766053757,0.00021285080415622994,0.00027930161671576307,0.0003151568136742366,0.00033884330230661845,0.00044066040442942127,0.0003635294828175695,0.0005162840994099232,0.00024777300393451934,0.00030915900118544366,0.00014272664399198688,0.0005174075816546768,0.00032064220705144435,0.0002815384688393613,0.0010695964063729226,0.0004081975505440646,0.0003112438055903859,0.0001718468460782817,0.0002879671109104647,0.0004362898238721218,0.000336571542553354,0.00033619277480760764,0.00012395329473383431,0.000214081207692039,0.00032685723197498117,0.00026451298845430295,0.0004495496711779046,0.00011382086805443673
MVID,0.0003138713988501638,0.0001923733168379291,0.00010091400065746046,0.00017232903968944515,0.00020890269557652274,0.00020358015922609888,0.00021553748154945864,0.0002210695644829178,0.000256098597966293,0.00033760625801207596,0.00017341841331867017,0.00025144654109462983,9.640745325837513e-05,0.00035448457148497817,0.00025544710938763524,0.0002466563439050993,0.0004081975505440646,0.0016360570610359938,0.00021616214919924388,0.00018861552400316055,0.00017002056645660236,0.0003431732275790537,0.00024355250134677702,0.0002555300773172207,0.00015654889421103002,0.00014982916226061,0.0002481579667897948,0.0001858151367037353,0.000311693547008415,6.62522006859994e-05
ALRS,0.00033955492640020616,0.00019954063239247644,0.00014183073062669623,0.0001696622037591287,0.00024005336720028111,0.00028587190505033046,0.0001968345346326726,0.00025812103532934475,0.00022870482062637933,0.0003497583157177691,0.00019005393816388645,0.0002741530469288951,0.00011551826581116423,0.0003465304605556773,0.00029205215915429684,0.00020038715640721837,0.0003112438055903859,0.00021616214919924388,0.0003691425837466477,0.00014559646392229056,0.0002025643425949209,0.0002753821103541406,0.0002435771111797064,0.0002956093134724935,4.369048760241801e-05,0.00018096923869866707,0.0002444137190780743,0.0002056692867132737,0.0003254849551345299,9.637771099270211e-05
