Date,GAZP,LKOH,SNGSP,BANEP,TATNP,GMKN,PLZL,RASP,TRMK,MTLR,SBER,VTBR,BSPB,AFKS,CBOM,MGNT,PIKK,MVID,ALRS,TTLK,MTSS,RTKM,RTKMP,AFLT,MGTS,IRAO,OGKB,TGKA,UPRO,LSNGP
2015-01-05,133.95,2295.0,29.6,935.0,135.7,8590.0,1000.5,23.15,37.5,24.97,56.37,0.0675,24.6,12.25,3.68,9877.0,191.7,135.5,60.38,0.14,174.7,91.44,57.95,33.21,424,0.7641,0.1676,0.00482,2.604,11.25
2015-01-06,138.92,2345.0,30.195,926.0,135.3,9101.0,1047.0,23.43,37.9,25.3,58.28,0.06666,25.6,12.37,3.68,10400.0,198.9,146.0,61.28,0.14,179.9,95.28,58.11,33.07,424,0.7641,0.1721,0.004955,2.604,11.1
2015-01-08,146.46,2572.0,31.6,956.0,136.0,9550.0,1060.0,24.25,38.0,26.4,65.7,0.06741,26.4,12.6,3.68,10627.0,191.2,148.5,60.2,0.14,190.05,90.1,57.3,35.17,420,0.7641,0.1756,0.005,2.604,11.95
2015-01-09,141.7,2461.0,32.01,938.0,134.5,9740.0,1050.0,23.8,39.2,26.5,63.1,0.06531,26.15,12.61,3.68,10542.0,192.7,145.9,61.91,0.142,195.0,89.03,57.3,34.0,423,0.7641,0.1713,0.00484,2.604,11.95
2015-01-12,140.22,2477.0,31.36,934.0,133.3,9839.0,1020.0,23.22,38.4,26.4,62.9,0.06353,25.7,12.13,3.68,10689.0,188.0,141.7,63.0,0.142,193.0,88.8,56.5,34.45,423,0.7641,0.1674,0.0048,2.604,11.9
2015-01-13,142.64,2522.0,32.3,929.0,133.8,10025.0,1035.5,23.29,37.8,25.0,60.31,0.0605,25.55,12.25,3.68,11180.0,195.4,136.9,66.4,0.1385,204.5,87.24,56.21,35.0,396,0.7641,0.1669,0.00465,2.604,11.65
2015-01-14,146.3,2588.0,32.7,940.0,132.2,9600.0,1024.5,23.32,38.7,25.25,60.05,0.0601,25.4,12.6,3.68,11450.0,192.8,136.5,71.7,0.1385,210.2,86.73,55.99,36.55,396,0.7641,0.1715,0.00474,2.604,11.5
2015-01-15,147.0,2618.9,32.82,969.0,137.5,9290.0,1045.0,24.8,38.5,26.13,61.8,0.06273,24.75,12.54,3.68,11304.0,189.8,135.0,68.6,0.14,216.5,87.73,55.5,36.65,406,0.7641,0.1704,0.004805,2.604,11.5
2015-01-16,149.6,2736.0,34.25,986.0,137.3,9561.0,1076.0,24.67,38.8,26.28,61.99,0.06522,24.85,12.43,3.68,11350.0,194.1,132.0,69.55,0.144,215.8,88.05,55.3,36.05,436,0.7641,0.1723,0.004865,2.604,11.2
2015-01-19,148.11,2640.0,34.9,1025.0,136.7,9417.0,1090.0,26.17,38.9,26.8,61.8,0.06401,24.75,12.48,3.68,11235.0,188.7,127.5,69.7,0.1405,215.0,88.0,55.16,36.34,437,0.7641,0.1685,0.004775,2.604,11.6
